x,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11
1.8894447223611806,0.302311437856433,-1.9824915652125963,4.366723383285882,-2.401376585129357,-2.9401832462664084,1.0730223987702132,3.0657494307462554,1.4637645541512596,-1.3208233186795937,-2.686846917351135,-1.8856086650429185,0.13833641545686115
1.8909454727363681,0.30185808412312803,-1.981330626202883,4.370251373858622,-2.4139033595908472,-2.9374597802365274,1.087356101473671,3.0706152713428994,1.4526282478816608,-1.3365308020973177,-2.6925357934570187,-1.8763649381534797,0.15582812485067477
1.8924462231115557,0.30140541025033035,-1.9801687107641763,4.373769824347258,-2.426436732038801,-2.9346906201623706,1.1017016134405235,3.075421103208652,1.4414269222985976,-1.3522294534953474,-2.6981366666244218,-1.8670217407637129,0.17335118884618606
1.8939469734867433,0.30095341521850427,-1.9790058244358373,4.377278739142774,-2.438976645281252,-2.931875747863994,1.116058729514767,3.0801667586650994,1.4301607777035343,-1.3679187939033628,-2.7036492310255333,-1.857579313047259,0.1909048734629688
1.895447723861931,0.300502098009643,-1.9778419727428078,4.380778122668859,-2.451523042199139,-2.9290151455187035,1.1304272444100842,3.084852071078335,1.4188300158932967,-1.38359834447958,-2.709073183574157,-1.848037898926863,0.2084884431639522
1.8969484742371185,0.3000514576072665,-1.976677161195644,4.3842679793817725,-2.4640758657464934,-2.9261087956603755,1.1448069527123281,3.0894768748604506,1.4074348401546168,-1.399267626522719,-2.714408223932944,-1.8383977460636323,0.2261011608853294
1.8984492246123061,0.29960149299641886,-1.9755113952905439,4.3877483137701905,-2.476635058950616,-2.923156681178771,1.1591976488820008,3.094041005471015,1.395975455258668,-1.4149261614839501,-2.719654054520557,-1.8286591058461972,0.24374228806647436
1.8999499749874937,0.2991522031636664,-1.9743446805093803,4.391219130355073,-2.4892005649122577,-2.9201587853188564,1.1735991272567219,3.098544299418535,1.3844520674555822,-1.43057347097881,-2.724810380518731,-1.8188222333797692,0.2614110846798652
1.9014507253626813,0.29870358709709516,-1.9731770223197307,4.394680433689511,-2.5017723268057996,-2.917115091680112,1.188011182053697,3.1029865942618855,1.3728648844689395,-1.4462090767990976,-2.7298769098792466,-1.8088873874750886,0.2791068092610236
1.902951475737869,0.2982556437863086,-1.9720084261749078,4.39813222835859,-2.514350287879426,-2.9140255842158487,1.202433607372177,3.1073677286117363,1.3612141154902535,-1.4618325009247422,-2.734853353330819,-1.7988548306372718,0.29682871893845864
1.9044522261130565,0.29780837222242545,-1.97083889751399,4.401574518979244,-2.5269343914553026,-2.9108902472325195,1.216866197195913,3.111687542131949,1.3494999711734335,-1.477443265535643,-2.7397394243858892,-1.7887248290545466,0.31457606946362926
1.9059529764882441,0.29736177139807746,-1.9696684417618529,4.405007310200112,-2.5395245809297484,-2.907709065389029,1.2313087453956029,3.1159458755409597,1.3377226636292312,-1.493040893023489,-2.744534839347336,-1.778497652586902,0.33234811524089647
