x,funcSonya,funcSonya_transformed,funcDemian,funcDemian_transformed,funcIvan,funcIvan_transformed,funcStefa,funcStefa_transformed,funcYuliia,funcYuliia_transformed
4.456913827655311,0.5468994594574976,0.5516666328465777,0.3962957887981422,0.3964791627074993,0.7944923831981918,0.8120723428152823,0.4171127929638876,0.4170162445873613,-0.00032353737448071525,0.03208801707858186
4.46693386773547,0.5475418350457958,0.5523479258040973,0.3955207061909234,0.3957045875438943,0.8041997297752371,0.8216102067406411,0.42239472167323344,0.4214436485798126,-0.0003034260251963823,0.03237854477963291
4.476953907815631,0.548181656205146,0.5530244593366753,0.3947486101091475,0.3949329005644899,0.813931473421806,0.831156191973157,0.42769789637468675,0.4258699474475167,-0.00028407458988927506,0.032653634875633886
4.486973947895791,0.5488189379648871,0.553696203200673,0.39397948355343004,0.3941640833243539,0.8236866370673006,0.8407090028970935,0.43302167152039844,0.4302945312955571,-0.000265460647791257,0.032912994192360566
4.4969939879759515,0.549453695238269,0.5543631276988313,0.3932133096513839,0.39339811753856546,0.8334642412897477,0.8502673410267317,0.4383653843169154,0.43471678749464515,-0.00024756230766780535,0.033156333126386536
4.507014028056112,0.5500859428235534,0.5550252037018991,0.3924500716564512,0.3926349850817818,0.8432633044141327,0.8598299051631042,0.44372835451052095,0.4391361007775659,-0.00023035819870221652,0.03338336579828721
4.517034068136272,0.5507156954051022,0.5556824026699783,0.3916897529467511,0.39187466798780435,0.8530828426109589,0.8693953915508854,0.44910988417177267,0.44355185333586516,-0.0002138274614355484,0.033593810204182936
4.527054108216433,0.5513429675544548,0.5563346966735839,0.3909323370239379,0.3911171484491455,0.8629218699950252,0.8789624940354237,0.45450925747926313,0.44796342491676044,-0.0001979497387658132,0.033787388365577126
4.537074148296593,0.5519677737313915,0.5569820584144135,0.390177807512071,0.39036240881659484,0.8727793987244089,0.8885299042198797,0.4599257405026332,0.4523701929202486,-0.00018270516700975053,0.03396382647744217
4.547094188376754,0.5525901282849877,0.5576244612458174,0.3894261481565007,0.3896104315987823,0.8826544390996455,0.8980963116224466,0.4653585809848653,0.45677153249639285,-0.00016807436703033328,0.03412285505451247
4.557114228456914,0.553210045454654,0.5582618791929717,0.38867734282275856,0.38886119946174397,0.8925459996630949,0.9076604038336238,0.4708070081238872,0.46116681664276654,-0.00015403843543298758,0.03426420907573728
4.567134268537075,0.5538275393711666,0.5588942869727386,0.3879313754954703,0.38811469522848185,0.9024530872984844,0.9172208666735178,0.47627023235351634,0.4655554163020304,-0.00014057893583334035,0.03438762812685623
