x,Gauss(μ=3λ λ=1),Gauss(μ=3λ λ=1)_transformed,Gauss(μ=6λ λ=1),Gauss(μ=6λ λ=1)_transformed,Gauss(μ=3λ λ=2),Gauss(μ=3λ λ=2)_transformed,Gauss(μ=6λ λ=2),Gauss(μ=6λ λ=2)_transformed
8.478309232480534,1.2131509847749953E-07,-0.0841882292672536,0.018500697237328678,-0.14742660219284992,9.225548384160159E-07,-0.18452569428434595,9.225548384160159E-07,-0.18452569428434595
8.488320355951057,1.1483509456666059E-07,-0.08332256015297529,0.018046425805535837,-0.14825013564141087,8.352271597864143E-07,-0.186228291195597,8.352271597864143E-07,-0.186228291195597
8.49833147942158,1.0869032404531585E-07,-0.08242156817620885,0.017601544524068955,-0.14901991715703694,7.558627114248705E-07,-0.18790591301088064,7.558627114248705E-07,-0.18790591301088064
8.508342602892103,1.028640474125315E-07,-0.08148495298606401,0.017165909977263236,-0.14973549466094727,6.837654135934314E-07,-0.18955816937392922,6.837654135934314E-07,-0.18955816937392922
8.518353726362626,9.734032849446445E-08,-0.08051241634616338,0.016739379546309194,-0.15039641969657588,6.182971338449763E-07,-0.19118467115101684,6.182971338449763E-07,-0.19118467115101684
8.528364849833148,9.210399759931246E-08,-0.07950366216877028,0.016321811445991194,-0.15100224746967156,5.588731338546937E-07,-0.19278503047128676,5.588731338546937E-07,-0.19278503047128676
8.53837597330367,8.714061627532123E-08,-0.07845839654855208,0.015913064760102062,-0.1515525368879061,5.04957849518107E-07,-0.1943588607668403,5.04957849518107E-07,-0.1943588607668403
8.548387096774194,8.243644360639787E-08,-0.07737632779598363,0.015512999475546865,-0.15204685059998763,4.560609820648722E-07,-0.19590577681257837,4.560609820648722E-07,-0.19590577681257837
8.558398220244715,7.797840398232076E-08,-0.0762571664703782,0.015121476515146717,-0.1524847550342772,4.117338792413437E-07,-0.19742539476579873,4.117338792413437E-07,-0.19742539476579873
8.568409343715238,7.375405628294357E-08,-0.07510062541255333,0.014738357769156604,-0.15286582043690738,3.7156618685805027E-07,-0.19891733220554011,3.7156618685805027E-07,-0.19891733220554011
8.578420467185762,6.975156441809646E-08,-0.07390641977712471,0.014363506125511209,-0.1531896209093987,3.3518275218104444E-07,-0.20038120817166977,3.3518275218104444E-07,-0.20038120817166977
8.588431590656285,6.595966916708971E-08,-0.07267426706442326,0.013996785498811762,-0.1534557344457703,3.0224076177081035E-07,-0.20181664320371057,3.0224076177081035E-07,-0.20181664320371057
